ds,servers,candidate_1,candidate_2,candidate_3
2023-05-21 14:13:17,2,3,0,0
2023-05-21 14:18:17,2,3,0,0
2023-05-21 14:23:17,2,3,0,0
2023-05-21 14:28:17,2,3,0,0
2023-05-21 14:33:17,2,3,0,0
2023-05-21 14:38:17,2,3,0,0
2023-05-21 14:43:17,2,3,0,0
2023-05-21 14:48:17,2,2,0,0
2023-05-21 14:53:17,2,2,0,0
2023-05-21 14:58:17,2,2,0,0
2023-05-21 15:03:17,2,2,0,0
2023-05-21 15:08:17,2,2,0,0
2023-05-21 15:13:17,2,2,0,0
2023-05-21 15:18:17,1,2,0,0
2023-05-21 15:23:17,1,2,0,0
2023-05-21 15:28:17,1,2,0,0
2023-05-21 15:33:17,1,2,0,0
2023-05-21 15:38:17,1,2,0,0
2023-05-21 15:43:17,1,2,0,0
2023-05-21 15:48:17,1,1,0,0
2023-05-21 15:53:17,1,1,0,0
2023-05-21 15:58:17,1,1,0,0
2023-05-21 16:03:17,1,1,0,0
2023-05-21 16:08:17,1,1,0,0
2023-05-21 16:13:17,1,1,0,0
2023-05-21 16:18:17,1,1,0,0
2023-05-21 16:23:17,1,1,0,0
2023-05-21 16:28:17,1,1,0,0
2023-05-21 16:33:17,1,1,0,0
2023-05-21 16:38:17,1,1,0,0
2023-05-21 16:43:17,1,1,0,0
2023-05-21 16:48:17,1,1,0,0
2023-05-21 16:53:17,1,1,0,0
2023-05-21 16:58:17,1,1,0,0
2023-05-21 17:03:17,1,1,0,0
2023-05-21 17:08:17,1,1,0,0
2023-05-21 17:13:17,1,1,0,0
2023-05-21 17:18:17,1,1,0,0
2023-05-21 17:23:17,1,1,0,0
2023-05-21 17:28:17,1,1,0,0
2023-05-21 17:33:17,1,1,0,0
2023-05-21 17:38:17,1,1,0,0
2023-05-21 17:43:17,1,1,0,0
2023-05-21 17:48:17,1,1,0,0
2023-05-21 17:53:17,1,1,0,0
2023-05-21 17:58:17,1,1,0,0
2023-05-21 18:03:17,1,1,0,0
2023-05-21 18:08:17,1,1,0,0
2023-05-21 18:13:17,1,1,0,0
2023-05-21 18:18:17,1,1,0,0
2023-05-21 18:23:17,1,1,0,0
2023-05-21 18:28:17,1,1,0,0
2023-05-21 18:33:17,1,1,0,0
2023-05-21 18:38:17,1,1,0,0
2023-05-21 18:43:17,1,1,0,0
2023-05-21 18:48:17,1,1,0,0
2023-05-21 18:53:17,1,1,0,0
2023-05-21 18:58:17,1,1,0,0
2023-05-21 19:03:17,1,1,0,0
2023-05-21 19:08:17,1,1,0,0
2023-05-21 19:13:17,1,1,0,0
2023-05-21 19:18:17,1,1,0,0
2023-05-21 19:23:17,1,1,0,0
2023-05-21 19:28:17,1,1,0,0
2023-05-21 19:33:17,1,1,0,0
2023-05-21 19:38:17,1,1,0,0
2023-05-21 19:43:17,1,1,0,0
2023-05-21 19:48:17,1,1,0,0
2023-05-21 19:53:17,1,1,0,0
2023-05-21 19:58:17,1,1,0,0
2023-05-21 20:03:17,1,1,0,0
2023-05-21 20:08:17,1,1,0,0
2023-05-21 20:13:17,1,1,0,0
2023-05-21 20:18:17,1,2,0,0
2023-05-21 20:23:17,1,2,0,0
2023-05-21 20:28:17,1,2,0,0
2023-05-21 20:33:17,1,2,0,0
2023-05-21 20:38:17,1,2,0,0
2023-05-21 20:43:17,1,2,0,0
2023-05-21 20:48:17,2,2,0,0
2023-05-21 20:53:17,2,2,0,0
2023-05-21 20:58:17,2,2,0,0
2023-05-21 21:03:17,2,2,0,0
2023-05-21 21:08:17,2,2,0,0
2023-05-21 21:13:17,2,3,0,0
2023-05-21 21:18:17,2,3,0,0
2023-05-21 21:23:17,2,3,0,0
2023-05-21 21:28:17,2,3,0,0
2023-05-21 21:33:17,2,3,0,0
2023-05-21 21:38:17,2,3,0,0
2023-05-21 21:43:17,2,3,0,0
2023-05-21 21:48:17,2,3,0,0
2023-05-21 21:53:17,2,3,0,0
2023-05-21 21:58:17,2,3,0,0
2023-05-21 22:03:17,3,4,0,0
2023-05-21 22:08:17,3,4,0,0
2023-05-21 22:13:17,3,4,0,0
2023-05-21 22:18:17,3,4,0,0
2023-05-21 22:23:17,3,4,0,0
2023-05-21 22:28:17,3,4,0,0
2023-05-21 22:33:17,3,4,0,0
2023-05-21 22:38:17,3,4,0,0
2023-05-21 22:43:17,3,5,0,0
2023-05-21 22:48:17,3,5,0,0
2023-05-21 22:53:17,3,5,0,0
2023-05-21 22:58:17,3,5,0,0
2023-05-21 23:03:17,4,5,0,0
2023-05-21 23:08:17,4,5,0,0
2023-05-21 23:13:17,4,5,0,0
2023-05-21 23:18:17,4,5,0,0
2023-05-21 23:23:17,4,6,0,0
2023-05-21 23:28:17,4,6,0,0
2023-05-21 23:33:17,4,6,0,0
2023-05-21 23:38:17,4,6,0,0
2023-05-21 23:43:17,4,6,0,0
2023-05-21 23:48:17,4,6,0,0
2023-05-21 23:53:17,4,6,0,0
2023-05-21 23:58:17,4,6,0,0
2023-05-22 00:03:17,5,7,0,0
2023-05-22 00:08:17,5,7,0,0
2023-05-22 00:13:17,5,7,0,0
2023-05-22 00:18:17,5,7,0,0
2023-05-22 00:23:17,5,7,0,0
2023-05-22 00:28:17,5,7,0,0
2023-05-22 00:33:17,5,7,0,0
2023-05-22 00:38:17,5,7,0,0
2023-05-22 00:43:17,5,8,0,0
2023-05-22 00:48:17,5,8,0,0
2023-05-22 00:53:17,5,8,0,0
2023-05-22 00:58:17,6,8,0,0
2023-05-22 01:03:17,6,8,0,0
2023-05-22 01:08:17,6,8,0,0
2023-05-22 01:13:17,6,8,0,0
2023-05-22 01:18:17,6,9,0,0
2023-05-22 01:23:17,6,9,0,0
2023-05-22 01:28:17,6,9,0,0
2023-05-22 01:33:17,6,9,0,0
2023-05-22 01:38:17,6,9,0,0
2023-05-22 01:43:17,6,9,0,0
2023-05-22 01:48:17,6,9,0,0
2023-05-22 01:53:17,6,9,0,0
2023-05-22 01:58:17,6,9,0,0
2023-05-22 02:03:17,7,10,0,0
2023-05-22 02:08:17,7,10,0,0
2023-05-22 02:13:17,7,10,0,0
2023-05-22 02:18:17,7,10,0,0
2023-05-22 02:23:17,7,10,0,0
2023-05-22 02:28:17,7,10,0,0
2023-05-22 02:33:17,7,10,0,0
2023-05-22 02:38:17,7,10,0,0
2023-05-22 02:43:17,7,10,0,0
2023-05-22 02:48:17,7,11,0,0
2023-05-22 02:53:17,7,11,0,0
2023-05-22 02:58:17,7,11,0,0
2023-05-22 03:03:17,7,11,0,0
2023-05-22 03:08:17,7,11,0,0
2023-05-22 03:13:17,7,11,0,0
2023-05-22 03:18:17,8,11,0,0
2023-05-22 03:23:17,8,11,0,0
2023-05-22 03:28:17,8,11,0,0
2023-05-22 03:33:17,8,11,0,0
2023-05-22 03:38:17,8,11,0,0
2023-05-22 03:43:17,8,11,0,0
2023-05-22 03:48:17,8,12,0,0
2023-05-22 03:53:17,8,12,0,0
2023-05-22 03:58:17,8,12,0,0
2023-05-22 04:03:17,8,12,0,0
2023-05-22 04:08:17,8,12,0,0
2023-05-22 04:13:17,8,12,0,0
2023-05-22 04:18:17,8,12,0,0
2023-05-22 04:23:17,8,12,0,0
2023-05-22 04:28:17,8,12,0,0
2023-05-22 04:33:17,8,12,0,0
2023-05-22 04:38:17,8,12,0,0
2023-05-22 04:43:17,8,12,0,0
2023-05-22 04:48:17,8,12,0,0
2023-05-22 04:53:17,8,12,0,0
2023-05-22 04:58:17,8,12,0,0
2023-05-22 05:03:17,8,12,0,0
2023-05-22 05:08:17,8,12,0,0
2023-05-22 05:13:17,8,12,0,0
2023-05-22 05:18:17,8,12,0,0
2023-05-22 05:23:17,8,12,0,0
2023-05-22 05:28:17,8,12,0,0
2023-05-22 05:33:17,8,12,0,0
2023-05-22 05:38:17,8,12,0,0
2023-05-22 05:43:17,8,12,0,0
2023-05-22 05:48:17,8,12,0,0
2023-05-22 05:53:17,8,12,0,0
2023-05-22 05:58:17,8,12,0,0
2023-05-22 06:03:17,8,12,0,0
2023-05-22 06:08:17,8,12,0,0
2023-05-22 06:13:17,8,12,0,0
2023-05-22 06:18:17,8,12,0,0
2023-05-22 06:23:17,8,12,0,0
2023-05-22 06:28:17,8,12,0,0
2023-05-22 06:33:17,8,12,0,0
2023-05-22 06:38:17,8,12,0,0
2023-05-22 06:43:17,8,12,0,0
2023-05-22 06:48:17,8,12,0,0
2023-05-22 06:53:17,8,12,0,0
2023-05-22 06:58:17,8,12,0,0
2023-05-22 07:03:17,8,12,0,0
2023-05-22 07:08:17,8,12,0,0
2023-05-22 07:13:17,8,12,0,0
